REGION,NATION,NATION_KEY,CUSTOMER_NAME,ACCOUNT_BALANCE,MARKET_SEGMENT,AVG_ACCT_BAL_BY_NATION
AFRICA,MOROCCO,15,Customer#000000001,711.56,BUILDING,4257.596666667
MIDDLE EAST,JORDAN,13,Customer#000000002,121.65,AUTOMOBILE,4257.936666667
AMERICA,ARGENTINA,1,Customer#000000003,7498.12,AUTOMOBILE,7361.81
MIDDLE EAST,EGYPT,4,Customer#000000004,2866.83,MACHINERY,2866.83
AMERICA,CANADA,3,Customer#000000005,794.47,HOUSEHOLD,2598.491666667
MIDDLE EAST,SAUDI ARABIA,20,Customer#000000006,7638.57,AUTOMOBILE,7638.57
ASIA,CHINA,18,Customer#000000007,9561.95,AUTOMOBILE,9238.33
AMERICA,PERU,17,Customer#000000008,6819.74,BUILDING,2656.473333333
ASIA,INDIA,8,Customer#000000009,8324.07,FURNITURE,2460.4375
AFRICA,ETHIOPIA,5,Customer#000000010,2753.54,HOUSEHOLD,5740.275
EUROPE,UNITED KINGDOM,23,Customer#000000011,-272.6,BUILDING,2584.27
MIDDLE EAST,JORDAN,13,Customer#000000012,3396.49,HOUSEHOLD,4257.936666667
AMERICA,CANADA,3,Customer#000000013,3857.34,BUILDING,2598.491666667
AMERICA,ARGENTINA,1,Customer#000000014,5266.3,FURNITURE,7361.81
EUROPE,UNITED KINGDOM,23,Customer#000000015,2788.52,HOUSEHOLD,2584.27
MIDDLE EAST,IRAN,10,Customer#000000016,4681.03,FURNITURE,3175.306666667
AMERICA,BRAZIL,2,Customer#000000017,6.34,AUTOMOBILE,2181.743333333
EUROPE,FRANCE,6,Customer#000000018,5494.43,BUILDING,5168.383333333
ASIA,CHINA,18,Customer#000000019,8914.71,HOUSEHOLD,9238.33
EUROPE,RUSSIA,22,Customer#000000020,7603.4,FURNITURE,6392.725
ASIA,INDIA,8,Customer#000000021,1428.25,MACHINERY,2460.4375
AMERICA,CANADA,3,Customer#000000022,591.98,MACHINERY,2598.491666667
AMERICA,CANADA,3,Customer#000000023,3332.02,HOUSEHOLD,2598.491666667
MIDDLE EAST,JORDAN,13,Customer#000000024,9255.67,MACHINERY,4257.936666667
ASIA,JAPAN,12,Customer#000000025,7133.7,FURNITURE,6739.405
EUROPE,RUSSIA,22,Customer#000000026,5182.05,AUTOMOBILE,6392.725
AMERICA,CANADA,3,Customer#000000027,5679.84,BUILDING,2598.491666667
ASIA,INDIA,8,Customer#000000028,1007.18,FURNITURE,2460.4375
AFRICA,ALGERIA,0,Customer#000000029,7618.27,FURNITURE,5705.385
AMERICA,ARGENTINA,1,Customer#000000030,9321.01,BUILDING,7361.81
EUROPE,UNITED KINGDOM,23,Customer#000000031,5236.89,HOUSEHOLD,2584.27
AFRICA,MOROCCO,15,Customer#000000032,3471.53,BUILDING,4257.596666667
AMERICA,PERU,17,Customer#000000033,-78.56,AUTOMOBILE,2656.473333333
AFRICA,MOROCCO,15,Customer#000000034,8589.7,HOUSEHOLD,4257.596666667
AMERICA,PERU,17,Customer#000000035,1228.24,HOUSEHOLD,2656.473333333
ASIA,VIETNAM,21,Customer#000000036,4987.27,BUILDING,4987.27
ASIA,INDIA,8,Customer#000000037,-917.75,FURNITURE,2460.4375
ASIA,JAPAN,12,Customer#000000038,6345.11,HOUSEHOLD,6739.405
AMERICA,BRAZIL,2,Customer#000000039,6264.31,AUTOMOBILE,2181.743333333
AMERICA,CANADA,3,Customer#000000040,1335.3,BUILDING,2598.491666667
MIDDLE EAST,IRAN,10,Customer#000000041,270.95,HOUSEHOLD,3175.306666667
AFRICA,ETHIOPIA,5,Customer#000000042,8727.01,BUILDING,5740.275
EUROPE,ROMANIA,19,Customer#000000043,9904.28,MACHINERY,9904.28
AFRICA,MOZAMBIQUE,16,Customer#000000044,7315.94,AUTOMOBILE,7315.94
ASIA,INDONESIA,9,Customer#000000045,9983.38,AUTOMOBILE,9983.38
EUROPE,FRANCE,6,Customer#000000046,5744.59,AUTOMOBILE,5168.383333333
AMERICA,BRAZIL,2,Customer#000000047,274.58,BUILDING,2181.743333333
AFRICA,ALGERIA,0,Customer#000000048,3792.5,BUILDING,5705.385
MIDDLE EAST,IRAN,10,Customer#000000049,4573.94,FURNITURE,3175.306666667
EUROPE,FRANCE,6,Customer#000000050,4266.13,MACHINERY,5168.383333333
